2.346: [GC 2.346: [DefNew: 7444K->153K(9088K), 0.0178555 secs] 7444K->6297K(130112K), 0.0180744 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
3.049: [GC 3.049: [DefNew: 7813K->156K(9088K), 0.0161641 secs] 13957K->13468K(130112K), 0.0163609 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
3.749: [GC 3.749: [DefNew: 7616K->159K(9088K), 0.0167800 secs] 20928K->20639K(130112K), 0.0169937 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
4.452: [GC 4.452: [DefNew: 7559K->162K(9088K), 0.0191898 secs] 28040K->27811K(130112K), 0.0193722 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
5.156: [GC 5.156: [DefNew: 7521K->166K(9088K), 0.0163754 secs] 35170K->34982K(130112K), 0.0166400 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
5.768: [GC 5.768: [DefNew: 8294K->456K(9088K), 0.0232795 secs] 43110K->41416K(130112K), 0.0234984 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
6.386: [GC 6.386: [DefNew: 8276K->628K(9088K), 0.0303982 secs] 49236K->47733K(130112K), 0.0306008 secs] [Times: user=0.02 sys=0.01, real=0.03 secs] 
7.183: [GC 7.183: [DefNew: 8586K->561K(9088K), 0.0138818 secs] 55691K->54987K(130112K), 0.0140233 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
7.884: [GC 7.885: [DefNew: 7901K->273K(9088K), 0.0224773 secs] 62326K->62158K(130112K), 0.0227165 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
8.586: [GC 8.586: [DefNew: 7838K->278K(9088K), 0.0196398 secs] 69723K->69330K(130112K), 0.0198770 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
9.286: [GC 9.286: [DefNew: 7883K->281K(9088K), 0.0197692 secs] 76936K->76502K(130112K), 0.0200064 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
9.987: [GC 9.987: [DefNew: 7568K->284K(9088K), 0.0200993 secs] 83788K->83673K(130112K), 0.0203485 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
10.689: [GC 10.689: [DefNew: 7945K->290K(9088K), 0.0198496 secs] 91334K->90847K(130112K), 0.0200974 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
11.391: [GC 11.391: [DefNew: 7968K->294K(9088K), 0.0205088 secs] 98525K->98019K(130112K), 0.0207633 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
19.023: [GC 19.023: [DefNew: 8422K->429K(9088K), 0.0178935 secs] 106147K->103274K(130112K), 0.0181505 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
40.021: [GC 40.021: [DefNew: 8557K->430K(9088K), 0.0067689 secs] 111402K->103276K(130112K), 0.0069821 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.026: [GC 61.026: [DefNew: 8558K->480K(9088K), 0.0064840 secs] 111404K->103326K(130112K), 0.0067434 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
82.026: [GC 82.027: [DefNew: 8608K->309K(9088K), 0.0068016 secs] 111454K->103338K(130112K), 0.0070114 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
103.031: [GC 103.031: [DefNew: 8437K->339K(9088K), 0.0052199 secs] 111466K->103369K(130112K), 0.0054143 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
124.036: [GC 124.036: [DefNew: 8467K->361K(9088K), 0.0051993 secs] 111497K->103391K(130112K), 0.0053932 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
145.038: [GC 145.038: [DefNew: 8489K->393K(9088K), 0.0049192 secs] 111519K->103422K(130112K), 0.0051025 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
166.075: [GC 166.075: [DefNew: 8521K->227K(9088K), 0.0040045 secs] 111550K->103257K(130112K), 0.0041830 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
187.131: [GC 187.131: [DefNew: 8355K->201K(9088K), 0.0045554 secs] 111385K->103277K(130112K), 0.0047734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
208.257: [GC 208.257: [DefNew: 8329K->220K(9088K), 0.0045107 secs] 111405K->103299K(130112K), 0.0047065 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
229.266: [GC 229.266: [DefNew: 8348K->235K(9088K), 0.0044034 secs] 111427K->103319K(130112K), 0.0046483 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
250.337: [GC 250.337: [DefNew: 8363K->249K(9088K), 0.0041344 secs] 111447K->103336K(130112K), 0.0043437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
271.345: [GC 271.345: [DefNew: 8377K->266K(9088K), 0.0049745 secs] 111464K->103356K(130112K), 0.0051723 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
292.334: [GC 292.334: [DefNew: 8394K->280K(9088K), 0.0049375 secs] 111484K->103376K(130112K), 0.0051511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
313.097: [GC 313.097: [DefNew: 8408K->296K(9088K), 0.0046324 secs] 111504K->103396K(130112K), 0.0048523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
334.087: [GC 334.087: [DefNew: 8424K->304K(9088K), 0.0053503 secs] 111524K->103415K(130112K), 0.0056020 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
355.082: [GC 355.082: [DefNew: 8432K->297K(9088K), 0.0050178 secs] 111543K->103435K(130112K), 0.0052103 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
376.185: [GC 376.185: [DefNew: 8425K->297K(9088K), 0.0054562 secs] 111563K->103455K(130112K), 0.0056540 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
397.238: [GC 397.238: [DefNew: 8425K->297K(9088K), 0.0045617 secs] 111583K->103475K(130112K), 0.0047580 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
418.193: [GC 418.193: [DefNew: 8425K->297K(9088K), 0.0048836 secs] 111603K->103494K(130112K), 0.0051439 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
439.184: [GC 439.184: [DefNew: 8425K->297K(9088K), 0.0043504 secs] 111622K->103514K(130112K), 0.0045338 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
460.220: [GC 460.220: [DefNew: 8425K->297K(9088K), 0.0041594 secs] 111642K->103534K(130112K), 0.0043273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
481.247: [GC 481.247: [DefNew: 8425K->297K(9088K), 0.0045227 secs] 111662K->103554K(130112K), 0.0047503 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
502.237: [GC 502.237: [DefNew: 8425K->297K(9088K), 0.0042287 secs] 111682K->103574K(130112K), 0.0044058 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
523.249: [GC 523.249: [DefNew: 8425K->297K(9088K), 0.0042157 secs] 111702K->103594K(130112K), 0.0043788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
544.248: [GC 544.248: [DefNew: 8425K->297K(9088K), 0.0054346 secs] 111722K->103613K(130112K), 0.0056318 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
565.248: [GC 565.249: [DefNew: 8425K->297K(9088K), 0.0047022 secs] 111741K->103633K(130112K), 0.0049399 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
586.244: [GC 586.244: [DefNew: 8425K->297K(9088K), 0.0041464 secs] 111761K->103653K(130112K), 0.0043225 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
607.235: [GC 607.235: [DefNew: 8425K->297K(9088K), 0.0045718 secs] 111781K->103673K(130112K), 0.0048056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
628.215: [GC 628.215: [DefNew: 8425K->297K(9088K), 0.0043182 secs] 111801K->103693K(130112K), 0.0045078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
649.319: [GC 649.319: [DefNew: 8425K->296K(9088K), 0.0041349 secs] 111821K->103712K(130112K), 0.0043115 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
670.265: [GC 670.266: [DefNew: 8424K->296K(9088K), 0.0044659 secs] 111840K->103732K(130112K), 0.0046877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
691.247: [GC 691.248: [DefNew: 8424K->296K(9088K), 0.0045795 secs] 111860K->103752K(130112K), 0.0047580 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
712.284: [GC 712.284: [DefNew: 8424K->296K(9088K), 0.0048884 secs] 111880K->103771K(130112K), 0.0050785 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
733.298: [GC 733.298: [DefNew: 8424K->296K(9088K), 0.0046468 secs] 111899K->103791K(130112K), 0.0048720 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
754.338: [GC 754.338: [DefNew: 8424K->296K(9088K), 0.0044544 secs] 111919K->103811K(130112K), 0.0046868 secs]
